TICKER,date,OPEN,HIGH,LOW,CLOSE,VOL,value_key_rate,value_petroleum,value_currency
company_7,2020-01-03,255.97,258.19,253.7,255.0,35824160.0,6.25,68.6226,61.234
company_7,2020-01-06,254.75,254.84,251.4,253.9,22327940.0,6.25,68.91,61.234
company_7,2020-01-08,253.62,259.15,253.03,259.15,40736030.0,6.25,64.79,61.234
company_7,2020-01-09,259.41,261.76,257.01,257.99,38196300.0,6.25,65.3377,61.234
company_7,2020-01-10,257.91,259.25,256.88,258.19,18841650.0,6.25,65.021,61.234
company_7,2020-01-13,258.21,262.4,257.15,262.4,25849900.0,6.25,64.2342,60.9474
company_7,2020-01-14,262.58,263.22,258.62,259.05,31097130.0,6.25,64.4199,60.9474
company_7,2020-01-15,258.45,258.91,254.21,256.31,49328500.0,6.25,64.0,61.414
company_7,2020-01-16,257.11,259.51,256.1,257.51,40225420.0,6.25,64.62,61.4328
company_7,2020-01-17,258.2,262.82,257.75,262.5,44891340.0,6.25,64.85,61.5694
company_7,2020-01-20,263.22,266.97,261.8,266.28,29749210.0,6.25,65.2,61.4654
company_7,2020-01-21,265.47,268.9,263.02,268.06,37927820.0,6.25,64.5758,61.4654
company_7,2020-01-22,268.63,270.8,265.5,266.54,44170920.0,6.25,63.21,61.8552
company_7,2020-01-23,264.9,266.89,262.24,263.73,40484270.0,6.25,62.04,61.8343
company_7,2020-01-24,264.53,267.5,264.21,265.49,27246250.0,6.25,60.69,61.9515
company_7,2020-01-27,260.99,262.1,255.32,255.32,56011660.0,6.25,59.32,62.338
company_7,2020-01-28,257.05,258.84,254.1,257.7,47921360.0,6.25,59.51,62.338
company_7,2020-01-29,258.4,261.57,257.61,259.94,34921040.0,6.25,59.81,62.8299
company_7,2020-01-30,257.97,258.69,255.27,257.31,31552340.0,6.25,58.29,62.3934
company_7,2020-01-31,258.5,259.2,252.17,252.2,47800190.0,6.25,56.62,63.0359
company_7,2020-02-03,251.8,254.96,251.1,253.99,52621110.0,6.25,54.45,63.9091
company_7,2020-02-04,255.33,257.38,252.9,255.4,49731290.0,6.25,53.96,63.9091
company_7,2020-02-05,255.89,257.66,253.14,255.2,50719760.0,6.25,55.28,63.4342
company_7,2020-02-06,256.66,258.0,251.86,252.11,43319020.0,6.25,54.93,63.1742
company_7,2020-02-07,253.13,254.3,248.73,254.3,50059840.0,6.25,54.5036,62.7977
company_7,2020-02-10,254.55,255.73,252.07,252.26,34935840.0,6.0,53.27,63.7708
company_7,2020-02-11,253.78,259.77,253.0,254.5,79392360.0,6.0,54.01,63.7708
company_7,2020-02-12,255.4,255.49,252.31,254.5,52447350.0,6.0,55.79,63.949
company_7,2020-02-13,253.62,255.18,252.5,253.89,36654420.0,6.0,56.34,63.047
company_7,2020-02-14,254.38,254.38,251.4,251.75,29982140.0,6.0,57.32,63.6016
company_7,2020-02-17,252.5,253.1,250.13,251.36,26370580.0,6.0,57.75,63.3085
company_7,2020-02-18,250.08,250.44,247.57,249.2,36259430.0,6.0,57.75,63.3085
company_7,2020-02-19,250.37,250.68,247.95,249.7,25740870.0,6.0,59.12,63.7698
company_7,2020-02-20,250.07,252.17,249.13,250.15,30707880.0,6.0,59.31,63.6873
company_7,2020-02-21,248.42,251.49,247.24,250.8,27682840.0,6.0,58.2434,63.7413
company_7,2020-02-25,247.98,248.83,245.17,245.19,40505070.0,6.0,54.95,64.9213
company_7,2020-02-26,244.75,251.21,243.22,250.8,67529090.0,6.0,53.43,64.9213
company_7,2020-02-27,247.5,248.98,242.0,242.88,57887670.0,6.0,52.18,65.5177
company_7,2020-02-28,234.96,239.0,231.0,233.36,123187610.0,6.0,50.52,65.6097
company_7,2020-03-02,238.55,241.0,218.86,228.17,101688550.0,6.0,52.0486,66.3274
company_7,2020-03-03,233.0,239.0,232.28,236.63,83491100.0,6.0,51.9,66.3274
company_7,2020-03-04,234.13,236.7,232.62,235.27,54165550.0,6.0,51.4,66.4437
company_7,2020-03-05,237.03,238.72,230.64,232.33,56972700.0,6.0,49.93,66.0784
company_7,2020-03-06,227.99,229.2,216.67,219.99,103932680.0,6.0,45.5,66.1854
company_7,2020-03-10,197.99,212.74,184.86,201.2,243308680.0,6.0,37.81,72.0208
company_7,2020-03-11,202.2,204.33,192.05,194.53,137765860.0,6.0,35.79,72.0208
company_7,2020-03-12,185.17,187.87,173.14,175.91,197162330.0,6.0,32.66,71.472
company_7,2020-03-13,175.0,199.52,174.3,198.6,262618120.0,6.0,34.67,74.0274
company_7,2020-03-16,194.0,196.7,186.0,195.85,173656160.0,6.0,29.51,74.1262
company_7,2020-03-17,194.92,204.78,183.8,184.01,183602360.0,6.0,28.62,74.1262
company_7,2020-03-18,178.95,182.2,172.15,174.27,154736970.0,6.0,24.88,73.8896
company_7,2020-03-19,178.5,190.15,173.06,189.51,187222370.0,6.0,28.47,77.2131
company_7,2020-03-20,198.62,201.86,192.05,195.69,170124950.0,6.0,26.98,80.157
company_7,2020-03-23,188.0,190.99,182.1,183.37,157690770.0,6.0,27.46,80.8815
company_7,2020-03-24,193.3,195.0,189.1,192.64,104281150.0,6.0,27.47,80.8815
company_7,2020-03-25,196.37,201.0,182.32,188.08,187724830.0,6.0,27.45,78.8493
company_7,2020-03-26,187.69,191.2,182.8,188.07,111338470.0,6.0,26.34,77.7928
company_7,2020-03-27,188.05,188.97,180.17,180.38,114106500.0,6.0,24.93,78.7223
company_7,2020-03-30,177.03,183.2,174.9,183.0,93995170.0,6.0,22.76,76.4074
company_7,2020-03-31,186.0,188.77,184.25,187.21,113605840.0,6.0,22.74,76.4074
company_7,2020-04-01,183.2,185.47,182.0,184.78,76453050.0,6.0,24.74,76.4074
company_7,2020-04-02,188.34,189.9,182.0,186.95,125289380.0,6.0,29.94,76.4074
company_7,2020-04-03,186.6,187.49,184.28,185.64,92726520.0,6.0,34.11,76.4074
company_7,2020-04-06,187.52,192.02,186.42,190.7,77520920.0,6.0,33.05,76.4074
company_7,2020-04-07,193.1,200.54,193.06,197.63,136262480.0,6.0,31.87,76.4074
company_7,2020-04-08,196.2,200.29,195.12,200.29,89695510.0,6.0,32.84,75.455
company_7,2020-04-09,202.4,205.44,199.3,203.61,109748080.0,6.0,31.48,75.7499
company_7,2020-04-10,201.85,202.75,200.7,201.99,28658630.0,6.0,31.74,74.605
company_7,2020-04-13,201.99,202.16,197.32,198.26,41196340.0,6.0,31.74,73.5245
company_7,2020-04-14,199.99,202.85,196.1,197.37,80132500.0,6.0,29.6,73.5245
company_7,2020-04-15,196.0,196.25,186.06,186.07,97979270.0,6.0,27.69,73.315
company_7,2020-04-16,187.22,191.67,183.53,188.5,109069050.0,6.0,27.82,73.7145
company_7,2020-04-17,192.5,192.7,188.28,191.8,71522530.0,6.0,28.08,74.7119
company_7,2020-04-20,190.6,192.23,187.31,189.32,62162030.0,6.0,25.57,74.6657
company_7,2020-04-21,185.54,187.5,183.65,186.05,94053840.0,6.0,19.33,74.6657
company_7,2020-04-22,185.05,191.94,184.5,190.2,75194080.0,6.0,20.37,76.2562
company_7,2020-04-23,192.0,192.5,188.68,190.94,62581600.0,6.0,21.33,77.0416
company_7,2020-04-24,189.73,191.65,187.7,188.91,55252250.0,6.0,21.44,75.129
company_7,2020-04-27,189.95,190.5,188.43,188.9,43627150.0,5.5,19.99,74.496
company_7,2020-04-28,188.55,194.22,188.17,192.8,78555750.0,5.5,20.46,74.496
company_7,2020-04-29,194.36,195.8,192.86,195.8,69766160.0,5.5,22.54,74.5706
company_7,2020-04-30,196.52,199.7,195.46,197.25,87028430.0,5.5,25.27,73.6894
company_7,2020-05-04,195.68,195.68,193.26,193.69,56239930.0,5.5,27.2,73.9719
