<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
xxxx;D;241017;000000;34.98;35.07;32.85;33;29570510
xxxx;D;241018;000000;33.04;34.9;32.77;33.6;15465830
xxxx;D;241021;000000;34;34.15;33.1;33.99;4384200
xxxx;D;241022;000000;33.99;34;33.5;33.81;2618360
xxxx;D;241023;000000;33.9;34.18;32.93;33.17;2962870
xxxx;D;241024;000000;33.16;33.35;32.95;33.07;1498460
xxxx;D;241025;000000;33.23;33.33;30.69;31.11;5017470
xxxx;D;241028;000000;30.71;31;29.5;29.63;2170090
xxxx;D;241029;000000;29.64;30.24;28.53;30.22;1906250
xxxx;D;241030;000000;30.4;31;29.64;30.25;773830
xxxx;D;241031;000000;30.2;30.24;29.41;29.7;1554740
xxxx;D;241101;000000;29.8;29.98;29.3;29.62;851040
xxxx;D;241102;000000;29.63;29.76;29.3;29.5;1025900
